Camera,C11,C12,C13,C14,C21,C22,C23,C24,C31,C32,C33,C34
19,-10.7728045234546,-38.1266202304973,-0.763289879714919,3.95917550891323,14.3746364554734,-1.57724635432841,-27.4509701085667,-14.4294334377681,-0.0120380591053906,0.00226941934327726,-0.000569307087309741,0.0122493586975179
20,-17.2285982408816,-35.6772741413273,-0.763289879714919,3.95917550891323,13.8824992754613,-4.04896198501324,-27.4509701085667,-14.4294334377681,-0.0114612341898398,0.00432495572534167,-0.000569307087309741,0.0122493586975179
21,-23.1608816998623,-32.1444559198956,-0.763289879714919,3.95917550891323,12.9687506381682,-6.39760784780368,-27.4509701085667,-14.4294334377681,-0.0105363383329181,0.00624905638595128,-0.000569307087309741,0.0122493586975179
22,-28.3941032643649,-27.6309136170651,-0.763289879714919,3.95917550891323,11.6597837912923,-8.55378987522974,-27.4509701085667,-14.4294334377681,-0.00929018811733627,0.00798483161532056,-0.000569307087309741,0.0122493586975179
23,-32.7658500157252,-22.2731129447172,-0.763289879714919,3.95917550891323,9.99492227704724,-10.4508089622311,-27.4509701085667,-14.4294334377681,-0.00776034540711445,0.00947851097708899,-0.000569307087309741,0.0122493586975179
24,-36.1390727777121,-16.2376077754193,-0.763289879714919,3.95917550891323,8.02585110392382,-12.029280666229,-27.4509701085667,-14.4294334377681,-0.00599433569413616,0.0106833080441652,-0.000569307087309741,0.0122493586975179
25,-38.4160980321566,-9.6899896534963,-0.763289879714919,3.95917550891323,5.80628491616119,-13.244052807265,-27.4509701085667,-14.4294334377681,-0.00404047072737841,0.0115645893779986,-0.000569307087309741,0.0122493586975179
26,-39.515770020542,-2.86293681117223,-0.763289879714919,3.95917550891323,3.41508451915069,-14.0518709436261,-27.4509701085667,-14.4294334377681,-0.00196817710927545,0.0120909639833656,-0.000569307087309741,0.0122493586975179
27,-39.4136204529912,4.03224630803803,-0.763289879714919,3.95917550891323,0.926837417449552,-14.4311763793144,-27.4509701085667,-14.4294334377681,0.00015814243770288,0.0122490865843097,-0.000569307087309741,0.0122493586975179
28,-38.1241147883238,10.7816677331404,-0.763289879714919,3.95917550891323,-1.58058806088032,-14.3742693960795,-27.4509701085667,-14.4294334377681,0.0022722178344013,0.0120375311959532,-0.000569307087309741,0.0122493586975179
29,-35.6864661633412,17.2095502635553,-0.763289879714919,3.95917550891323,-4.0415505433742,-13.8846587460628,-27.4509701085667,-14.4294334377681,0.00431883678310836,0.0114635413385825,-0.000569307087309741,0.0122493586975179
30,-32.2013728511403,23.0816826510324,-0.763289879714919,3.95917550891323,-6.36566374754764,-12.9844601097783,-27.4509701085667,-14.4294334377681,0.00622310051939054,0.010551689490602,-0.000569307087309741,0.0122493586975179
31,-27.7405123921123,28.2870369555419,-0.763289879714919,3.95917550891323,-8.50863531573782,-11.6927757334623,-27.4509701085667,-14.4294334377681,0.0079488449866309,0.0093209975087987,-0.000569307087309741,0.0122493586975179
32,-22.4384346704503,32.6528580225539,-0.763289879714919,3.95917550891323,-10.4001588191584,-10.0476154298195,-27.4509701085667,-14.4294334377681,0.00943916732324188,0.00780815288172315,-0.000569307087309741,0.0122493586975179
33,-16.4483630117163,36.0436380202655,-0.763289879714919,3.95917550891323,-11.9822090645877,-8.09595857337347,-27.4509701085667,-14.4294334377681,0.0106481223109078,0.00605661806889512,-0.000569307087309741,0.0122493586975179
34,-9.99413564690809,38.3380977641345,-0.763289879714919,3.95917550891323,-13.1976216737829,-5.9110626324681,-27.4509701085667,-14.4294334377681,0.0115322051886181,0.00413199403050487,-0.000569307087309741,0.0122493586975179
35,-3.22717428119401,39.4876921794618,-0.763289879714919,3.95917550891323,-14.0197844553961,-3.54450604647538,-27.4509701085667,-14.4294334377681,0.0120723022114578,0.00207957940356964,-0.000569307087309741,0.0122493586975179
